id,Pregunta,Respuesta,Categoría,fechaCreacion,fechaModificacion
19,¿Cuáles son las carreras presenciales disponibles en la universidad ESPE?,hay 22 carreras presenciales (nota: hay que añadir las carreras y la sede),,,
20,¿Cuánto valen los créditos de la carrera de software?,$36.20 ,,,
21,¿Cómo se llama el director de la carrera de Software?,El director de la carrera de Software es el Ing. Mauricio Camapaña,,,
22,¿Cuál es la oferta académica en la universidad ESPE?,la universidad dispone de 37 carreras  se divide en linea y presencial de las cuales son las siguientes,,,
23,¿Cuáles son los Clubs que dispone la universidad ESPE?,ya le agrego tengo averiguar los curso,,,
24,¿Cuáles son los requisitos para el programa de becas en la universidad ESPE?,,,,
25,¿Qué pasa si me cobran dos veces una materia?,Presentar por escrito y digital una queja hacia tesoreria,,,
26,¿En dónde puedo hacer mi tramite de devoluciones de dinero?,No devuelven,,,
27,¿Por qué razón se me anularon mis materias?,"1. Por una mala gestión de las personas encargas de las aulas virtuales (Utic ) 
2 . No se cancelaron los pagos correspondientes a perdida de materias (en el caso que este realizando 2da o 3ra matricula)",,,
28,¿Cuántos laboratorios de Computación  hay en los bloques G y H ?,36 laboratorios,,,
29,¿Cuántos bloques hay en el edificio principal?,"2, Bloque A y Bloque B",,,
30,¿Cuántos años tiene la universidad?,102 años,,,
31,¿Cuántos Oferta Académica de Grado​ Modalidad en Línea Tiene la universidad?,"6, Educación Básica, Educación Inicial, Economia, Turismo, Tecnologías de la Información, Pedagogía de los Idiomas y Extranjeros",,,
32,¿Cuál es la visión de la Universidad?,"Al 2025, ser reconocidos a nivel nacional e internacional como una institución de educación superior de calidad en docencia, investigación y vinculación bajo el paradigma de una universidad inteligente, articulando la transferencia de ciencia y tecnología, a través de procesos de I+D+i; y, convirtiéndonos en un referente de pensamiento en seguridad y defensa, al servicio del país y Fuerzas Armadas.",,,
33,¿A quiénes está dirigido el retiro voluntario?,Para los estudiantes que una vez registrado su matrícula desean retirarse de forma parcial o total del período académico,,,
34,"Si no alcancé a matricularme en tiempo ordinario, ¿qué debo hacer?",Debes esperar hasta el tiempo de matrícula extraordinaria para registrar tus NRCs.,,,
35,"Si ya no existen cupos en los NRCs (Paralelos), ¿Cuáles son mis alternativas y a quien debo acudir?",Debes tomar contacto con tu Director de Carrera para que canalice tu necesidad de cupos ante el Coordinador de Docencia o a su vez te informe cuales están disponible mismos que deben ser equivalentes.,,,
36,¿Qué debo hacer si tengo impedimento económico?,Debes tomar contacto inmediato con la tesorería de la Universidad  para que te informen el saldo pendiente que debes cancelar en la Universidad.,,,
37,¿Qué papel importante realiza mi Director de Carrera en tiempos de matrícula?,Es con quien se toma el primer contacto ante cualquier necesidad académica que tenga el estudiante e inconvenientes al momento de registrar tu matrícula.,,,
38,¿Cuáles son los servicios que ofrece la biblioteca de la ESPE?,"La biblioteca de la ESPE ofrece servicios de préstamo de libros, consulta de materiales en sala, acceso a bases de datos electrónicas, espacios de estudio, y apoyo en investigación a través de asesorías.",,,
39,¿Dónde se puede obtener información sobre los intercambios estudiantiles en la ESPE?,"La información sobre intercambios estudiantiles se puede obtener en la Oficina de Relaciones Internacionales, ubicada en el bloque A, planta baja.",,,
40,¿Cuáles son los horarios de atención de la cafetería de la ESPE?,La cafetería de la ESPE está abierta de lunes a viernes de 7:00 a 18:00 y los sábados de 8:00 a 13:00.,,,
41,¿Cómo puedo acceder a los servicios médicos en la ESPE?,"Para acceder a los servicios médicos en la ESPE, puedes dirigirte al Centro Médico Universitario, ubicado en el bloque B, planta baja. Los horarios de atención son de lunes a viernes de 8:00 a 16:00.",,,
42,¿Qué actividades extracurriculares ofrece la ESPE?,"La ESPE ofrece una variedad de actividades extracurriculares, incluyendo deportes, clubes culturales y académicos, talleres de arte y música, y programas de voluntariado. Puedes obtener más información en la Dirección de Bienestar Estudiantil.",,,
43,¿Cómo puedo iniciar un proceso de cambio de carrera?,"Si se trata de cambios dentro de la misma universidad, contacta con el DIrector de Carrera de la carrera a la que quieras solicitar cupo, el/la director@ te brindara mas informacion acerca de requisitos y condiciones del proceso.",,,
44,¿Cómo puedo iniciar un proceso de cambio de universidad?,Tienes dos alternativas. Quieres realizar un cambio hacia la ESPE o un cambio desde la ESPE hacia otra universidad?,,,
45,¿Cómo puedo hacer un cambio de universidad hacia la ESPE?,"Puedes empezar por contactar con el Director de la Carrera que deseas postular, el/la director@ te proporcionara informacion sobre los requisitos y condiciones.",,,
46,¿Cómo puedo hacer un cambio a otra universidad?,"Puedes empezar por contactar con las Autoridades /Decanos/Directores de tu carrera o universidad de destino, ellos te brindaran informacion acerca del proceso. Por otra parte contacta a la autoridad de tu carrera actual para que te brinde una guia acerca de como realizar correctamente el proceso de salida de la ESPE.",,,
47,¿Quién es el Director de la Carrera de Ingenieria Mecatronica?,"El Director vigente de la carrera de Ing Mecatronica SEDE Matriz es el Ing. Paúl Mejía Campoverde, PhD. Si necesitas contactar con el Director de Ing Mecatronica, este es su correo institucional: carreramecatronica@espe.edu.ec",,,
48,¿Quién es el Director de la Carrera de Ingenieria Mecatronica SEDE Latacunga?,"El Director vigente de la carrera de Ing Mecatronica SEDE Latacunga es Darío Mendoza C., Máster. Si necesitas contactar con el Director de Ing Mecatronica, este es su correo institucional: djmendoza@espe.edu.ec",,,
49,¿Quién es el Director de la Carrera de Ingenieria Mecanica?,"El Director vigente de la carrera de Ing Mecanica es el Ing. Jaime F. Echeverría Y. Si necesitas contactar con el Director de Ing Mecanica, este es su correo institucional: jfecheverria@espe.edu.ec",,,
50,¿Quién es el Director de la Carrera de Ingenieria en Tecnologias de la Informacion?,"La Directora vigente de la carrera de Ing en Tecnologias de la Informacion es el la Ing. Graciela Guerrero, MSc. Si necesitas contactar con la Directora de Ing en Tecnologias de la Informacion, este es su correo institucional: rrguerrero@espe.edu.ec",,,
51,¿Existe residencia universitaria en la Universidad de las Fuerzas Armadas?,"Si, la Universidad de las Fuerzas Armadas cuenta con residencia universitaria, para obtener mas información puedes contactarte a los siguientes teléfonos: teléfonos: (02) 3989400 extensiones: 3125 y 3126, (02) 3989476",,,
52,¿La Universidad de las Fuerzas Armadas cuenta con gimnasio?,"Si, la Universidad de las Fuerzas Armadas presta el servicio de gimnasio, está ubicado en el coliseo Grad. Miguel Iturralde en la Sede de Sangolquí.",,,
53,¿A qué hora abre el gimnasio de la universidad?,El gimnasio cuenta con horarios de lunes a viernes desde las 7:00 hasta las 13:00 en la mañana y en la tarde desde las 15:00 hasta las 18:30.,,,
54,¿Cómo puedo entrar al gimnasio?,"Para entrar al gimnasio es obligatorio presentar tu carnét de la ESPE y traer toalla personal, alcohol antiséptico y ropa deportiva.",,,
55,¿A quién llamo si fallan las máquinas dispensadoras de la Universidad?,"Al momento el servicio de las maquinas dispensadoras se encuentran bajo los servicios de la marca Maincoffee, si quieres contactarlos para resolver algún problema puedes llamarlos al 0997653889",,,
56,¿Dónde puedo pedir información sobre el parqueadero de la ESPE?,"La empresa a cargo del parqueadero es ESPE-Innovativa, los puedes contactar al teléfono (593-2) 3820800, al correo electrónico info@espe-innovativa.edu.ec o en sus oficinas ubicadas en Av. General Rumiñahui s/n,Campus Universitario ESPE. Edificio de Servicios Generales ESPE, tras el Almacén Universitario.",,,
57,¿Cuánto tiempo puedo estar en el parqueadero gratis si voy de visita?,El estacionamiento es gratis para los usuarios que no excedan los 15 minutos de estacionamiento.,,,
58,¿Cuáles son los campus de la ESPE?,"La Universidad de las Fuerzas Armadas ESPE cuenta con los Campus: Campus Matriz, Campus Latacunga y Campus Santo Domingo",,,
59,¿Con qué Unidad debo comunicarme para postular a un puesto de trabajo?,Debe comunicarse con la Unidad de Talento Humano para postular a un empleo,,,
60,¿Con qué departamentos cuenta la Universidad?,"La Universidad cuenta con los departamentos: Ciencias Exactas, Ciencias de la Computación, Ciencias de la Vida
Ciencias Económicas Administrativas y de Comercio. Eléctrica y Electrónica, Energía y Mecánica, Seguridad y Defensa, Ciencias de la Tierra y de la Construcción, Ciencias Humanas y Sociales",,,
61,¿Cuál es el número de contacto del Campus Matriz?,El número de contacto del Campus Matriz es (593)23989-400,,,
62,¿En dónde puedo obtener información sobre el curso de nivelación?,"Puede obtener información del curso de Nivelación en la Unidad de Admisión y Registro, en el apartado de Nivelación",,,
63,¿Qué modalidades de estudio ofrece la Universidad?,"La Universidad ofrece la modalidad presencial, virtual y semipresencial",,,
64,¿Qué tipo de becas ofrece la Universidad?,"La Universidad ofrece Becas de Grado, Becas de Maestría y Becas de Doctorado",,,
65,¿Qué idiomas ofrece la Universidad para aprender?,La Universidad cuenta con los idiomas de Inglés y Chino Mandarín,,,
66,¿Con cuántos niveles cuenta el Inglés?,El aprendizaje del Idioma Inglés cuenta con 6 niveles obligatorios y 2 opcionales,,,
67,¿Cuándo se fundó la Universidad?,La Universidad de las Fuerzas Armadas ESPE tiene su origen el 16 de junio de 1922,,,
68,¿Cuál es el horario de atención de dla Universidad?,El horario de atención de la Universidad es de Lunes a Viernes de 07h00 a 16h00,,,
69,¿Qué pasa con los estudiantes que no toman Inglés durante dos periodos consecutivos?,"Los estudiantes deberán registrarse para rendir el examen de ubicación, en el formulario que se habilitará en la Plataforma Mi ESPE",,,
70,¿A qué número debo comunicarme para obtener información sobre el Proceso de Admisión?,Debe comunicarse al número (593) 23989 400,,,
71,¿Cuántos semestres tiene la carrera de Biotecnología?,La carrera de Biotecnología tiene una duración de 9 semestres,,,
72,¿Cuántos semestres tiene la carrera de Medicina?,La carrera de Medicina tiene una duración de 10 semestres,,,
73,Que proceso tengo que hacer si aprobe a primer nivel en modalidad presencial?,"Acercarse de manera presencial donde el Director de su Carrera y entregar la aceptación de matrícula para primer nivel, el documento  debe ser 
descargado, llenado y firmado por el estudiante",,,
74,¿Qué tiempo tengo para proceder a la titulación?,"Una vez culminado un periodo académico, posterior a la finalización del periodo normal de estudios, pasado este tiempo el estudiante tendrá que pedir una prórroga de un periodo académico ordinario al Director del Centro de Posgrados, esta primera prórroga es gratuita. El estudiante tendrá derecho de solicitar una segunda prórroga con pago para la extensión de un plazo adicional de un periodo académico ordinario.",,,
75,¿Cuanto tiempo dura vinculación?,"El tiempo de ejecución de los proyectos de vinculación con la sociedad, estará acorde a las actividades planificadas. La eiecución de un proyecto no podrá ser menor a tres meses.",,,
76,¿Hay que comenzar desde el primer nivel en ingles?,Se puede comenzar desde el primer nivel de ingles o realizar el examen de ubicacion  con la finalidad de ubicar al estudiante de acuerdo al nivel de conocimiento.,,,
77,¿Puedo realizar segunda vez el examen de ubicación en idiomas?,Si se puede realizar por segunda ocsasion el examen de ubicación pero a partir del segundo examen deberá cancelar el valor correspondiente al 100%.,,,
78,¿Cuánto tiempo puedo ausentarme del ingles?,"Los estudiantes de carreras que no han dado continuidad en los cursos de idiomas por el lapso de dos períodos académicos, deberán registrarse para rendir el examen de ubicación, en el formulario que se habilitará en la Plataforma Mi ESPE ; caso contrario deberán matricularse en ENGLISH I (primer nivel) en las fechas establecidas.",,,
79,¿Cuántas horas se requieren para cumplir Practica preprofesionales?,Como parte de la formación academica para realizar la titulación de una carrera se debe cumplir 240 horas,,,
80,¿Existen materias optativas en la universidad?,No existen materias optativas en la Universidad de las Fuerzas Armadas ESPE,,,
81,¿Qué es el MIC?,"Es un proyecto investigativo que permite la titulación del estudiante de una carrera, esta materia se encuentra en los ultimos niveles de la malla de cualquier carrera",,,
82,¿Solo pueden ingresar a la universidad personas que pertencen a las fuerzas armadas?,"No, la universidad esta habilitada para personal civil y personal militar",,,
83,¿Cuántas tercera matriculas puedo hacer?,El maximo de tercera matriculas que puede hacer un estudiante es de 3,,,
84,¿Cuántas horas se deben cumpletar vinculación / servicio comunitaria?,Como pare de la formación academica para realizar la titulación de una carrera se deben cumplir 96 horas,,,
85,¿El nuevo hospital universitario esta dentro del campus matriz?,"No, el nuevo hospital universitario PADIS-ESPE esta ubicado en el valle de los chillos pero no en el campus matriz",,,
86,¿Existen cursos de capacitación dentro de la ESPE?,"Sí, son cursos que corresponden al centro de educación continua y tienen para la areas de ciencias exactas, médicas, energía y mecánica, de la vida y agricultura, computación, elétrica, eletrónica y telecomunicaciones, económicas, administrativas y de comercio, humanas y sociales, de la tierra y construcción, seguridad y defensa",,,
87,¿Las carreas de seguiridad y defensa pueden tomarla ciudadanos civiles?,"No, solo pueden cursar estas carreras personal militar",,,
88,¿Qué pasa si estoy haciendo el MIC y ya no tengo mas materias en la malla por tomar?,"En el caso que se presente esta situación , se debe comunicar al problema al director de carrera él cual dará una resolución para poder matricularte sin que presente incovenientes en la matricula como perdida de gratuitida.",,,
89,¿Dondé esta ubicado el instituto de idiomas de la ESPE?,Av. 6 de Diciembre y Thomás de Berlanga  – Campus el Inca,,,
90,¿Cuántos son los créditos mínimos para no perder gratuidad de matrícula?,Los créditos mínimos para no perder gratuidad de matrícula es el,,,
91,¿Quién es Coordinador de pasantias del del departamento de DCCO ?,Phd. Edison Jorge Lascano,,,
92,¿Todas las carreras de ingeniería tienen materias exactas?,"Sí, todas las carreras de ingeniería cuentan con un 30% de la malla de materias exactas.",,,
93,¿Quién es la directora del Departamento de Ciencias de Computación DCCO?,Phd. Mgstr Sonia Cardenas,,,
94,¿Cuáles son los requisitos para obtener una beca de excelencia académica?,"Los requisitos suelen incluir tener un alto promedio académico o mayor a 16, no tener recursos económicos suficientes, y cumplir con los criterios establecidos por la universidad. Para más detalles específicos, debes contactar con el departamento de becas de la universidad.",,,
95,¿Qué facilidades deportivas ofrece la ESPE a sus estudiantes?,"La ESPE ofrece varias facilidades deportivas, incluyendo canchas de fútbol, baloncesto, voleibol, y un gimnasio. Los horarios y disponibilidad de estas instalaciones pueden ser consultados en la Dirección de Bienestar Estudiantil o en la administración de las instalaciones deportivas.",,,
96,¿Qué actividades sociales y recreativas se organizan para los nuevos estudiantes en la ESPE?,"La ESPE organiza varias actividades sociales y recreativas para nuevos estudiantes, como jornadas de integración, eventos deportivos, y actividades culturales. Puedes encontrar más información en el calendario académico o en la Dirección de Bienestar Estudiantil.",,,
97,¿Cuál es la particularidad histórica de la ESPE en cuanto a su origen y transformación?,"La Universidad de las Fuerzas Armadas ESPE se originó el 16 de junio de 1922 como la Escuela de Oficiales de Ingenieros, orientada a la formación de oficiales del Ejército en técnicas de ingeniería militar. En 1977, se transformó en la Escuela Politécnica del Ejército (ESPE), y en 2013, se fusionó con otras instituciones militares para convertirse en la Universidad de las Fuerzas Armadas ESPE, como se la conoce hoy en día​ (Wikipedia, la enciclopedia libre)​​ (ESPE)​.",,,
98,¿Sabías que la ESPE tiene un campus con su propia granja experimental?,"¡Sí! La ESPE no solo se dedica a la educación en aulas, sino que también cuenta con una granja experimental en el campus de Sangolquí. Aquí, los estudiantes de carreras relacionadas con ciencias agropecuarias pueden practicar y aplicar sus conocimientos",,,
99,pregunta de prueba,esta es una pregunta de prueba,,,
100,pregunta numero 2 prueba,pregunta de prueba nuemro 2 actualizado,,,2025-06-30T16:12:02.105953+00:00
101,¿Cuál es el horario de atención del DCCO?,El horario de atención es de lunes a viernes de 7:00 AM a 5:00 PM,General,2025-07-16T01:42:35.412+00:00,2025-07-16T01:42:35.412+00:00
